model,best_params,cv_accuracy,test_accuracy,classification_report
RandomForest,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.5725,0.5925,"                                    precision    recall  f1-score   support |  |                            Animals       0.51      0.60      0.55        80 |              Exterior/urban noises       0.64      0.66      0.65        80 |           Human, non-speech sounds       0.58      0.55      0.56        80 |           Interior/domestic sounds       0.64      0.57      0.61        80 | Natural soundscapes & water sounds       0.61      0.57      0.59        80 |  |                           accuracy                           0.59       400 |                          macro avg       0.60      0.59      0.59       400 |                       weighted avg       0.60      0.59      0.59       400 | "
SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.505625,0.49,"                                    precision    recall  f1-score   support |  |                            Animals       0.51      0.55      0.53        80 |              Exterior/urban noises       0.51      0.54      0.52        80 |           Human, non-speech sounds       0.41      0.47      0.44        80 |           Interior/domestic sounds       0.46      0.46      0.46        80 | Natural soundscapes & water sounds       0.61      0.42      0.50        80 |  |                           accuracy                           0.49       400 |                          macro avg       0.50      0.49      0.49       400 |                       weighted avg       0.50      0.49      0.49       400 | "
KNN,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'}",0.48125000000000007,0.4925,"                                    precision    recall  f1-score   support |  |                            Animals       0.62      0.50      0.55        80 |              Exterior/urban noises       0.48      0.41      0.44        80 |           Human, non-speech sounds       0.41      0.56      0.47        80 |           Interior/domestic sounds       0.49      0.50      0.49        80 | Natural soundscapes & water sounds       0.53      0.49      0.51        80 |  |                           accuracy                           0.49       400 |                          macro avg       0.50      0.49      0.49       400 |                       weighted avg       0.50      0.49      0.49       400 | "
